Range,Net MRR,Uninstalls ,Installs
Apr 2 - Apr 8 ,$505.12,258,386
Apr 9 - Apr 15 ,$120.87,182,379
Apr 16 - Apr 22 ,$239.72,207,329
Apr 23 - Apr 29 ,$286.47,219,398
Apr 30 - May 6 ,$565.35,245,349
May 7 - May 13 ,$269.75,252,424
May 14 - May 20 ,$658.16,237,389
May 28 - Jun 3 ,$724.22,258,354
Jun 4 - Jun 10 ,598.26,148,236
Jun 11 - Jun 17 ,$453.73,245,437
Jun 18 - Jun 24 ,$254.64,251,417
Jun 25 - Jul 1 ,$513.66,221,366
Jul 2 - Jul 8 ,$412.71,258,422
Jul 9 - Jul 15 ,$521.29,275,471
Jul 16 - Jul 22 ,$498.17,295,429
Jul 23 - Jul 29 ,$1290.18,304,493
Jul 30 - Aug 5 ,$802.94,316,519
Aug 6 - Aug 12 ,$917.68,257,474
Aug 13 - Aug 19 ,$722.16,278,453